,Unnamed: 0,filename,au-name,au-birth,au-death,title,au-gender,firsted-yr,printSource-yr,form,spelling,data-capture,token count,vols_count,size,bgrf,author_wikidata,author_MiMoText-ID,title_wikidata,title_MiMoText-ID,lang,publisher,distributor,distribution_date,copyright_status,digitalSource_Title,digitalSource_Ref,digitalSource_Publisher,digitalSource_Date,printSource_title,printSource_author,printSource_pubPlace,printSource_publisher,printSource_date,resp_datacapture,resp_encoding,summary,sentiment,probability,sentiment_label,gender_label
11,11,Arnaud_Clary,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Clary ou le retour à la vertu récompensé,M,1767,1773,mixed,modern,semi-automatic transcription,14372,1,short,67.15,Q548610,Q68,Q123068943,Q1594,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"Le repentir véritable, en exerçant notre sensibilité, rend, en quelque sorte,
notre morale plus pure, et plus dégagée de ces mouvements d'orgueil, le partage
ordinaire des cœurs.",positive,0.7961409687995911,2,1
12,12,Arnaud_Epoux,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Les époux malheureux,M,1783,1803,autodiegetic,modern,semi-automatic transcription,76971,2,medium,83.15,Q548610,Q68,Q123066840,Q1056,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Les Époux malheureux ou Histoire de Monsieur et Madame de ***,https://www.frantext.fr/repository/frantext,Frantext,unknown,Les Époux malheureux ou Histoire de Monsieur et Madame de ***,François-Thomas-Marie de Baculard d'Arnaud,unknown,Laporte,1803,frantext,Johanna Konstanciak,"""Je suis dépouillé de mes biens, abandonné de mes sociétés, rejeté de mes
parents, de l'univers entier; peut-être, quel trait pour une âme sensible!""",negative,0.915569007396698,0,1
13,13,Arnaud_Fanny,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,"Fanny, histoire anglaise",M,1764,1773,autodiegetic,modern,semi-automatic transcription,17786,1,short,64.14,Q548610,Q68,Q123067744,Q1494,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"Le lord Thaley entrait dans l'âge des passions; il était né avec une âme droite,
et beaucoup de sensibilité; un rang élevé, de la fortune, une société de gens
corrompus, c'est-à-dire la société du grand monde, la facilité de céder à ses
penchant",negative,0.7069112062454224,0,1
14,14,Arnaud_Julie,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Julie ou l'heureux repentir,M,1767,1773,heterodiegetic,historical,semi-automatic transcription,17136,1,short,67.16,Q548610,Q68,Q123069316,Q1595,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"Le système avait entraîné la ruine de beaucoup de familles, qui semblaient, par
leur condition ou par leur opulence, ne devoir point appréhender les suites de
cette révolution singulière.",negative,0.9285711646080017,0,1
15,15,Arnaud_Matinees,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Les matinées,M,1798,1799,heterodiegetic,historical,semi-automatic transcription,76587,3,medium,99.43,Q548610,Q68,Q123067320,Q1098,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Les matinées,https://books.google.de/books?id=srQ5AAAAcAAJ,Google Books,2009,"Les matinées, nouvelles anecdotes",François-Thomas-Marie de Baculard d'Arnaud,Paris,l'imprimerie de Vatar-Jouannet,1799,googlebooks,Amelie Probst,"C'est à l'amour seul qu'il appartient de remplir cette avidité de qui nous tient
l'existence.",positive,0.7377718687057495,2,1
16,16,Arnaud_Nancy,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Nancy ou les malheurs de l'imprudence et de la jalousie,M,1767,1773,heterodiegetic,historical,semi-automatic transcription,17520,1,short,67.18,Q548610,Q68,Q123070185,Q1597,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2021,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"Des maladies cruelles qui affligent l'esprit humain, l'imprudence et la jalousie
sont peut-être les plus dangereuses.",negative,0.9292168021202087,0,1
17,17,Arnaud_Sargines,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,"Sargines, nouvelle",M,1772,1773,heterodiegetic,modern,semi-automatic transcription,22157,1,short,72.11,Q548610,Q68,Q123071790,Q1792,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"Philippe-Auguste imprimait le sceau de sa grandeur sur l'empire français ;
depuis Charlemagne, on n'avait point vu de règne plus éclatant : il a mérité de
faire époque dans nos annales.",positive,0.6698216199874878,2,1
18,18,Arnaud_Selicourt,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,"Sélicourt, nouvelle",M,1769,1773,heterodiegetic,modern,semi-automatic transcription,18765,1,short,69.13,Q548610,Q68,Q123070987,Q1675,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"Deux femmes depuis quelque temps partageaient ce tribut d'éloges que reçoit la
beauté : l'une se nommait la baronne Darmilli, et l'autre la marquise de
Menneville.",neutral,0.7880192995071411,1,1
19,19,Arnaud_Sidney,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Sidney et Volsan,M,1766,1773,autodiegetic,modern,semi-automatic transcription,18068,1,short,66.9,Q548610,Q68,Q123068421,Q1587,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"A la bonne heure qu'Isaac Newton soit un grand-homme, et que notre île
s'applaudisse de lui, je souscris de tout mon cœur à un si juste éloge.",positive,0.8537470698356628,2,1
20,20,Arnaud_Zenothemis,François-Thomas-Marie de Baculard d'Arnaud,1718,1805,Zénothémis,M,1773,1773,heterodiegetic,historical,semi-automatic transcription,18689,1,short,73.9,Q548610,Q68,Q123072257,Q1845,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,LesSacrificesDeLAmour,https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/,txtlab,2016,Épreuves du sentiment,François-Thomas-Marie de Baculard d'Arnaud,Paris,Le Jay,1773,unknown,Amelie Probst,"L'histoire des phocéens ressemble à celle de la plupart des autres peuples : ce
sont à peu près les mêmes nuages qui la couvrent, et les mêmes fables qui la
défigurent.",negative,0.9254016876220703,0,1
21,21,BarbeMarbois_Parisienne,François Barbé-Marbois,1745,1837,La Parisienne en province,M,1769,1769,heterodiegetic,historical,semi-automatic transcription,28983,1,short,69.14,Q708732,Q79,Q123360233,Q1676,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2021,https://creativecommons.org/publicdomain/zero/1.0/deed.en,La Parisienne en province . Ouvrage national. Par M...,https://gallica.bnf.fr/ark:/12148/bpt6k6382224v,Bibliothèque national de France,2013,La Parisienne en province. Ouvrage national. Par M.....,François marquis de Barbé-Marbois,"Amsterdam, Paris",veuve Duchesne,1769,gallica,Johanna Konstanciak,"MonSIeur de Migneville s'était fait Marquis avec de l'or: accablé de titres, de
richesses et d'années, il voulut encore se charger d'une femme.",negative,0.6451546549797058,0,1
22,22,Barthe_Femme,Nicolas Thomas Barthe,1736,1785,La jolie femme ou la femme du jour,M,1769,1769,heterodiegetic,historical,semi-automatic transcription,62828,1,medium,69.15,Q3340819,Q83,Q123124831,Q1677,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2021,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"La Jolie Femme, Ou La Femme Du Jour.",https://www.digitale-sammlungen.de/de/view/bsb10088194,Bayerische Staatsbibliothek,2009,"La jolie femme, ou la femme du jour.",Nicolas-Thomas Barthe,"Lyon, Rouen, Paris","Deville, Abraham Lucas, Le Jay",1769,Münchener DigitalisierungsZentrum,Johanna Konstanciak,"La chronique d'Eric Chevillard, à propos de ""Madame de Vasy"", de Jean-Pierre
Rosency.",neutral,0.8656309843063354,1,1
23,23,Bastide_Maison,Jean François Bastide,1724,1798,La Petite Maison,M,1762,1879,heterodiegetic,modern,semi-automatic transcription,6933,1,short,62.9,Q3165946,Q88,Q123000894,Q1460,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2022,https://creativecommons.org/publicdomain/zero/1.0/deed.en,La Petite Maison,https://fr.wikisource.org/wiki/La_Petite_Maison,Wikisource,2017,La Petite Maison,Jean-François de Bastide,Paris,Librairie des Bibliophiles,1879,Wikisource contributors,"Henning Gebhard, Johanna Konstanciak","Le marquis de Trémicour avait envie de l'engager, et s'était flatté d'y réussir
aisément avec les hommes, et il n'y avait que les bonnes gens.",positive,0.8470596671104431,2,1
24,24,Beauharnais_Lettres,Fanny de Beauharnais,1737,1813,Lettres de Stéphanie,F,1778,1778,epistolary,historical,"double keying, semi-automatic transcription",130178,3,long,78.12,Q446559,Q96,Q123125163,Q1957,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"Lettres de Stéphanie , roman historique, en trois parties.","gallica, https://gallica.bnf.fr/ark:/12148/bpt6k5795955s, https://gallica.bnf.fr/ark:/12148/bpt6k57386640",Bibliothèque national de France,"2009, 2010, 2009",Lettres de Stéphanie.,Fanny de Beauharnais,Paris,unknown,1778,"double keying by ""Jiangsu"", China",Julia Dudar,"Stéphanie, dont je vous avez entretenue si souvent, et que déjà vous aimez sans
la connaître, Stéphanie n'habite plus l'Angleterre. Elle est en danger, peut-
être.",negative,0.9136852025985718,0,2
25,25,Beaumont_Belle,Jeanne-Marie Leprince de Beaumont,1711,1776,La Belle et la Bête,F,1756,1806,heterodiegetic,modern,semi-automatic transcription,5599,1,short,56.19,Q466788,Q601,Q60193373,Q4001,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2022,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Contes moraux pour l’instruction de la jeunesse: La Belle et la Bête,https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/La_Belle_et_la_B%C3%AAte,Wikisource,2021,Contes moraux pour l'instruction de la jeunesse,Jeanne Marie Leprince de Beaumont,Paris,Barba,1806,Wikisource contributors,"Henning Gebhard, Johanna Konstanciak","Histoire d'amour (2/6). La belle histoire d'une veuve et d'un marchand d'art, à
la veille de la présidentielle.",neutral,0.8217788934707642,1,2
26,26,Beaumont_Clarice,Jeanne-Marie Leprince de Beaumont,1711,1780,La nouvelle Clarice,F,1767,1767,epistolary,historical,double keying,135460,2,long,67.36,Q466788,Q601,Q123124899,Q1032,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"La nouvelle Clarice, histoire véritable, par Mme Le Prince [""sic""] de                        Beaumont","https://gallica.bnf.fr/ark:/12148/bpt6k6550212p, https://gallica.bnf.fr/ark:/12148/bpt6k65436683/",Bibliothèque national de France,"2013, 2013","La nouvelle Clarice, histoire véritable",Jeanne-Marie Leprince de Beaumont,"Lyon, Paris",P. Bruyset-Ponthus,1767,"double keying by ""Jiangsu"", China","Julia Dudar, Christof Schöch","Assises du roman. A l'occasion de la mort de sa tante, ""Le Monde"" publie les
portraits de personnalités qui ont marqué leur existence. Cette semaine, Anne
Hidalgo, écrivaine et essayiste.",neutral,0.7477248907089233,1,2
27,27,Beaumont_Prince,Jeanne-Marie Leprince de Beaumont,1711,1776,Le Prince Chéri,F,1756,1806,heterodiegetic,modern,semi-automatic transcription,4674,1,short,56.19,Q466788,Q601,Q123392354,Q4002,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2022,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Contes moraux pour l’instruction de la jeunesse: Le Prince Chéri,https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/Le_Prince_Ch%C3%A9ri,Wikisource,2021,Contes moraux pour l'instruction de la jeunesse,Jeanne Marie Leprince de Beaumont,Paris,Barba,1806,Wikisource contributors,"Henning Gebhard, Johanna Konstanciak","Il y avait une fois un roi qui était si honnête homme, que ses sujets
l'appelaient le roi bon.",positive,0.6429556012153625,2,2
28,28,Beckford_Vathek,William Beckford,1760,1844,Vathek: conte arabe,M,1787,1787,heterodiegetic,modern,semi-automatic transcription,35155,1,short,87.25,Q361026,Q102,Q54548,Q1070,fr,https://mimotext.uni-trier.de,https://github.com/MiMoText/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,VathekConteArabe,"https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/, https://fr.wikisource.org/wiki/Vathek/%C3%89dition_1787_Paris",txtlab,2016,"Vathek, conte arabe",William Beckford,Paris,Poinçot,1787,unknown,Amelie Probst,"Le palais d'Alkorremi, bâti par son père Motassem, et qui commandait toute la
ville, ne lui parut pas assez vaste.",negative,0.8072726130485535,0,1
29,29,Bellin_Nuit,Louis François Marie Bellin de La Liborlière,1774,1847,La Nuit anglaise,M,1799,1799,heterodiegetic,historical,semi-automatic transcription,47057,2,short,99.44,Q3261946,Q105,Q123125821,Q2722,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2021,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"La Nuit Anglaise, Ou Les Aventures, jadis un peu extraordinaires, mais                        aujourd'hui toutes simples et très-communes De M. Dabaud, Marchand De La Rue                        St.-Honoré, A Paris","https://gdz.sub.uni-goettingen.de/id/PPN879346302, https://gdz.sub.uni-goettingen.de/id/PPN879346396",Staats- und Universitätsbibliothek Göttingen,"2017, 2017","La nuit anglaise ou aventures jadis un peu extraordinaires, mais                        aujourd'hui toutes simples et très communes de M. Dabaud, marchand de la rue                        Saint-Honoré, à Paris",Louis François Marie Bellin de La Liborlière,"Hambourg, Brunswick, Paris, Londres, Leipzig, Berlin, Francfort sur le Mein, Manheim, Basle, Breslau","P. F. Fauche et Compagnie, Pougens, rue St. Thomas du Louvre No. 246., J. de Boffes libraire, GerardStreet N.7, Soho, Dulau et Comp. Wardour-Street. Soho Square, Rabenhorst, lib., Mettra, lib., bureau du Journal françois., Fontaine, lib., Decker, lib., G. T. Korn jun. lib.",1799,Niedersächsische Staats- und Universitätsbibliothek Göttingen,Johanna Konstanciak,"Le SPECologue FLAMBOYANT, ou Les MYSTRES DE LA CAVERNE TÉNÉBREUSE. Tome XIX.",neutral,0.8169327974319458,1,1
30,30,Benoist_Elisabeth,Françoise-Albine Benoist,1724,1809,Elisabeth,F,1766,1766,epistolary,historical,double keying,84763,3,medium,66.11,Q3086371,Q107,Q123125508,Q1031,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"Elisabeth, roman. Par madame ***…","https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100158141, https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001200044084, https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001200044092",Bibliothèque numérique de Lyon,unknown,"Elisabeth, roman. Par madame ***",Françoise-Albine Puzin de la Martinière Mme Benoist,Amsterdam,Arkstée & Merkus,1766,"double keying volume 3 by ""Jiangsu"", China",Julia Dudar,"A l'occasion de la Journée internationale des femmes, des personnalités de tous
horizons racontent une relation qui a marqué leur existence.",positive,0.7610237002372742,2,2
31,31,Bernardin_Chaumiere,Jacques Henri Bernardin de Saint-Pierre,1737,1814,Chaumière Indienne,M,1791,1829,heterodiegetic,modern,semi-automatic transcription,13552,1,short,91.43,Q361976,Q865,Q42187814,Q1079,fr,https://mimotext.uni-trier.de,https://github.com/mimotext/roman18,2020,https://creativecommons.org/publicdomain/zero/1.0/deed.en,La Chaumière indienne,https://www.frantext.fr/,Frantext,unknown,La Chaumière indienne,Jacques-Henri Bernardin de Saint-Pierre,unknown,unknown,1829,frantext,Johanna Konstanciak,"Il y a environ trente ans qu'il se forma à Londres une compagnie de savants
anglais qui entreprit d'aller chercher, dans diverses parties du monde, des
lumières sur toutes les sciences, afin d'éclairer les hommes et de les rendre
plus heureux.",positive,0.7796611785888672,2,1
